S_No,Species,Trait,Parameter,"metaQTL name",Chromosome,"Position/Interval in cM/bp","Associated Markers",PVE/R2,"Link to reference"
1078,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6B.1 ",6B,45.07-47.28,"XPaagMctg3, AGC.TGC3",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1079,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6B.2 ",6B,99.38-100.75,"ACT.CAT2, P8966.1",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1080,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6B.3 ",6B,105.2-107.05,"P8444.1, Xksm45",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1081,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6B.4 ",6B,112.61-115.42,"D_379317, AGG.CAG5",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1082,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6B.5 ",6B,116.45-116.99,"AGG.CAG5, APaagMcgc1",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1083,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6B.6 ",6B,118.99-119.39,"AGG.CAG5, APaagMcgc1",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1084,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6B.7 ",6B,121.38-121.71,"AGG.CAG5, IWB67309.2",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1085,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6B.8 ",6B,123.2-123.74,"IWB67309.2, AX94465053",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1086,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6B.9 ",6B,128.28-128.56,"Xgdm136, IWA860",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1087,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6B.10 ",6B,151.56-202.28,"IWB60027, XPaggMcat5",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1088,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6D.1 ",6D,0-2.78,"IWB59376.2, IWB36391",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1089,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6D.2 ",6D,8.62-11.11,"S_3953435, 1127306|F|0",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1090,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6D.3 ",6D,13.58-14.37,"AX111501437, 6DL_3297209_3422",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1091,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6D.4 ",6D,31.81-35.57,"AX94493103, IWA1967.2",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1092,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6D.5 ",6D,42.88-43.58,"IWA6361, AX110007215",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1093,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6D.6 ",6D,62.74-63.7,"Xwmc773, AX109007320",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1094,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7A.1 ",7A,108.08-109.57,"IWB7950, XgbxG564a",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1095,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL7A.2,7A,125.78-126.93,"7AS_4114596_204, 7AS_4045514_1450",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1096,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL7A.3,7A,155.23-155.25,"IWB207, 7AS_4183259_787",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1097,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7B.1 ",7B,38.69-40.06,"CTCG.CAT2, AGT.CAGT6",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1098,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7B.2 ",7B,57.37-58.16,"AX108740562, S13M23.195",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1099,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7B.3 ",7B,68.78-69.63,"S_1130473, wPt4673",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1100,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7B.4 ",7B,76.76-77.69,"D_3021954, Xpsr687",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1101,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7B.5 ",7B,106.11-107.89,"Xwmc707, Xfbb258",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1102,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7B.6 ",7B,236.54-236.79,"IWB68803, XPaagMcgc11",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1103,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7D.1 ",7D,7.29-11.22,"IWB517, Xgwm735b",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1104,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7D.2 ",7D,75.17-76.77,"Xswes940.3, IWB17494",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1105,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7D.3 ",7D,82.59-85.56,"IWB50283, IWB12642.2",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1106,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7D.4 ",7D,96.65-100.15,"D_2247427, Xwmc42",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1107,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL7D.5 ",7D,139.15-143.76,"Xpsp3123, Xswes558.1",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1108,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-6,1D,107.31,2252079?2246395,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1109,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-7,1D,127.92,1122218_RAC875_c37075_53,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1110,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-1,2A,13.29,986207?1084359,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1111,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-2,2A,30.92,1088217?1162905,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1112,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-3,2A,43.7,RAC875_rep_c111906_144_wsnp_Ex_c61879_61748626,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1113,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-4,2A,50.07,CAP12_rep_c4192_354_Ku_c23118_149,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1114,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-5,2A,56.42,"wsnp_Ex_c19556_28530243, , Tdurum_contig30725_220",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1115,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-6,2A,80.67,2260254?3026394,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1116,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-7,2A,100.72,RAC875_c16333_340_RFL_Contig3509_229,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1117,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-1,2B,50.7,RAC875_c65386_72_BS00022298_51,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1118,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-2,2B,71.64,BS00065040_51_Tdurum_contig54634_846,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1119,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-3,2B,95.09,4911198?1210486,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1120,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-4,2B,109.36,Tdurum_contig62852_302_BS00022713_51,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1121,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL-5,2B,142.27,2292261?1211409,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1122,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,2D,1.81,2243439_D_GDEEGVY02I0IOX_61,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1123,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,2D,5.31,D_contig74612_253?2243548,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1124,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,2D,16.1,3222417_D_GA8KES401CIV9Z_240,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1125,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,2D,25.82,1282771?983316,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1126,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,2D,41.68,1179088?1044037,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1127,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6,2D,72.57,2249848?732882,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1128,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,3A,19.4,1370787?1113547,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1129,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,3A,36.55,Excalibur_c55624_86?1117391,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1130,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,3A,55.85,wsnp_CAP11_c2438_1258747_RAC875_c62909_192,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1131,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,3A,62.06,Kukri_rep_c116421_403_wPt5084,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1132,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,3A,66.76,Excalibur_c39002_242_wsnp_BQ167580A_Ta_1_1,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1133,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6,3A,81.36,RFL_Contig4282_1420_wPt3697,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1134,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL7,3A,118.36,1083178?2266354,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1135,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,3B,6.84,BS00094406_51_Kukri_c32803_150,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1136,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,3B,19.56,1140438?993177,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1137,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,3B,32.93,wPt742648_wPt0267,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1138,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,3B,59.07,1052877_wPt1159,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1139,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,3B,69.47,1081121_wsnp_Ex_c14162_22093694,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1140,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6,3B,97.61,2275568?3064709,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1141,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL7,3B,124.6,wPt8752?1202216,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1142,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,3D,12.31,1077175?1109353,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1143,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,3D,44.31,1670270?981840,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1144,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,3D,63.3,3950829?989745,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1145,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,3D,121.28,BS00062684_51?1140647,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1146,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,4A,16.35,981760_Ex_c864_653,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1147,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,4A,22.57,"WMC650, 1116187",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1148,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,4A,29.05,"3935226, 3024805",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1149,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,4A,41.36,"3022783, 1235138",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1150,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,4A,48.59,"1095229, 1102703",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1151,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6,4A,57.56,Excalibur_s101731_92?1134812,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1152,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL7,4A,67.82,wPt734161_Xwmc500,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1153,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL8,4A,93.54,Xbarc327_Xbarc52,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1154,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,4B,10.5,tPt513529_BS00039935_51,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1155,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,4B,28.21,"RhtB1, 1110817",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1156,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,4B,41.45,1233562_Tdurum_contig41902_1524,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1157,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,4B,47.68,Tdurum_contig10693_528?1210331,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1158,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,4B,51.63,4536042?1059469,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1159,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6,4B,82.83,1132850?1101163,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1160,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,4D,10.16,Kukri_rep_c106474_293_Excalibur_c91022_193,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1161,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,4D,30.24,1076436?1672793,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1162,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,4D,39.08,1266733?2245549,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1163,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,4D,62.12,1099379?2257252,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1164,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,4D,83.31,1203384_wsnp_RFL_Contig3893_4284191,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1165,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,5A,0,"NA, 4537943",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1166,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,5A,42.04,"CAP8_c1066_309, 1000150",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1167,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,5A,51.31,BS00074299_51_Excalibur_c31769_793,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1168,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,5A,63.78,"1124903, 3946991",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1169,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,5A,77.15,Tdurum_contig54689_646_wsnp_Ex_c2171_4073472,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1170,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6,5A,90.18,Xabg391_Xabg366,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1171,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL7,5A,120.42,Xwmc577_Xwmc524,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1172,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,5B,9.73,"1088238, 1117203",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1173,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,5B,20.78,"1159437, 4405411",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1174,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,5B,39.66,1083434_Tdurum_contig70123_354,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1175,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,5B,54.59,"Tdurum_contig45588_304, 1083023",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1176,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,5B,59.71,1862793_wsnp_BE403710B_Ta_2_1,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1177,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6,5B,65.17,wsnp_Ra_c19660_28866961_Kukri_c1214_948,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1178,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL7,5B,77.66,"1114164, 1048115",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1179,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL8,5B,93.08,Xgwm777_Xfba332.1,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1180,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL9,5B,128.96,Xwmc99_Xwmc734,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1181,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,5D,0.32,Ha,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1182,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,5D,15.59,Xgpw326_Xwmc150,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1183,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,5D,23.91,Xwmc434a_Xcfd81,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1184,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,5D,46.72,BobWhite_c10764_251_wsnp_JD_c3690_4731341,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1185,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,5D,63.98,"1671199, 2256293",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1186,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6,5D,71.48,"3222415, 1207257",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1187,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL7,5D,95.69,"1670863, 1126619",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1188,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL8,5D,121.09,D_GDEEGVY01D91EB_346?2245814,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1189,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1,6A,6.15,wsnp_Ex_rep_c68915_67808523_Excalibur_c20597_509,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1190,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2,6A,28.81,"1074651, 1107337",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1191,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3,6A,40.96,4017666_wsnp_Ex_c14692_22766127,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1192,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4,6A,49.75,"979315, 1094026",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1193,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5,6A,56.62,1087752_Kukri_rep_c69713_250,-,https://link.springer.com/article/10.1007/s00122-021-03881-4
1194,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6,6A,68.43,"BobWhite_c14304_687, 1046343",-,https://link.springer.com/article/10.1007/s00122-021-03881-4
